id,name,price,description
83,Buick,86.0,Down-sized 5th generation neural-net
84,Pontiac,36.64,Stand-alone mission-critical paradigm
85,Hyundai,49.15,Decentralized non-volatile installation
86,Ferrari,70.64,Mandatory tertiary concept
87,Chevrolet,21.82,Innovative regional pricing structure
88,Cadillac,41.77,Reverse-engineered directional system engine
89,Chevrolet,61.75,Public-key high-level open architecture
90,Daewoo,22.12,Up-sized exuding service-desk
91,Dodge,58.87,Diverse cohesive extranet
92,GMC,80.76,Sharable clear-thinking knowledge user
93,Pontiac,28.76,Open-architected non-volatile core
94,Ford,49.6,Advanced needs-based architecture
95,Mercedes-Benz,94.25,Intuitive intangible open system
96,Ford,30.1,Implemented leading edge portal
97,BMW,35.17,Networked local monitoring
98,Chevrolet,23.4,Inverse local intranet
99,Chrysler,30.31,Streamlined composite website
100,Honda,63.56,Triple-buffered user-facing methodology
101,Ford,9.92,Cross-group foreground initiative
102,Ford,36.47,Multi-layered neutral info-mediaries
103,Chevrolet,10.2,Phased real-time function
104,Holden,41.04,Cross-platform heuristic access
105,Ford,61.46,Cloned intermediate utilisation
106,Lotus,60.89,Polarised multimedia capacity
107,Chevrolet,13.17,Customer-focused 3rd generation instruction set
108,Chevrolet,67.91,Self-enabling tangible pricing structure
109,Mercedes-Benz,45.3,Enterprise-wide user-facing moratorium
110,BMW,9.78,Team-oriented 24/7 ability
111,Cadillac,22.34,Customer-focused non-volatile structure
112,Jeep,30.92,Cross-group asynchronous knowledge user
113,Ford,36.61,De-engineered zero defect architecture
114,Ford,31.97,Sharable heuristic solution
115,Nissan,95.84,Proactive zero administration projection
116,Lincoln,57.82,Organized 4th generation software
117,Honda,11.66,Ameliorated tangible info-mediaries
118,Dodge,8.93,Cross-platform explicit budgetary management
119,Kia,42.93,Organized static workforce
120,Ford,65.44,Fundamental neutral secured line
121,Chevrolet,38.43,Customer-focused holistic strategy
122,Scion,29.45,Adaptive leading edge open system
123,Dodge,1.16,Centralized next generation throughput
124,Buick,87.32,Universal coherent function
125,Ford,92.82,Switchable didactic archive
126,Toyota,13.48,Cloned holistic access
127,Mazda,5.68,Fully-configurable multi-tasking Graphic Interface
128,Mitsubishi,79.67,Organic object-oriented structure
129,Nissan,74.59,Synchronised zero tolerance Graphical User Interface
130,Cadillac,40.07,Public-key 24/7 monitoring
131,Lexus,22.47,Managed multimedia standardization
132,Kia,62.54,Devolved systematic toolset
133,Lexus,80.11,Automated fresh-thinking model
134,Lexus,48.02,Grass-roots systemic Graphical User Interface
135,Chevrolet,23.69,Implemented mission-critical flexibility
136,Cadillac,81.52,Up-sized demand-driven matrices
137,Land Rover,36.82,Enhanced static conglomeration
138,Pontiac,54.58,Virtual attitude-oriented moderator
139,Mazda,48.69,Mandatory bottom-line access
140,Nissan,90.08,Digitized bi-directional paradigm
141,Buick,45.54,Persevering systematic array
142,Ford,17.04,Upgradable homogeneous hub
143,Chevrolet,11.18,Secured leading edge local area network
144,Toyota,56.7,Virtual impactful success
145,Chevrolet,87.2,Sharable impactful function
146,Ford,52.56,Up-sized cohesive infrastructure
147,Pontiac,95.98,Synergistic cohesive array
148,Toyota,98.54,Decentralized dedicated portal
149,Dodge,66.28,Streamlined multi-tasking customer loyalty
150,GMC,50.1,Ameliorated client-server data-warehouse
151,Mercedes-Benz,63.12,Stand-alone well-modulated pricing structure
152,Volvo,94.31,Multi-lateral methodical support
153,Lincoln,38.46,Right-sized 6th generation data-warehouse
154,Kia,78.83,Reverse-engineered didactic infrastructure
155,Plymouth,5.87,Team-oriented uniform knowledge user
156,Mercury,37.09,Cloned context-sensitive installation
157,Chevrolet,68.4,Fully-configurable local policy
158,Toyota,93.54,Customizable asynchronous moratorium
159,Lexus,67.99,Organized 3rd generation data-warehouse
160,Toyota,13.86,Cloned systemic collaboration
161,Acura,91.14,Switchable mobile interface
162,Pontiac,79.04,Total background product
163,Chevrolet,2.73,Inverse dynamic task-force
164,Infiniti,58.37,User-centric motivating initiative
165,Nissan,91.83,Exclusive zero administration migration
166,Nissan,63.03,Operative cohesive throughput
167,Chevrolet,99.65,Profound bottom-line knowledge base
168,Toyota,5.64,Seamless well-modulated system engine
169,Mazda,37.48,Innovative user-facing array
170,Scion,98.36,Open-architected secondary encryption
171,Chevrolet,29.67,Enterprise-wide 6th generation local area network
172,Lexus,29.54,Realigned disintermediate methodology
173,Lexus,66.67,Innovative content-based hardware
174,Audi,9.35,Implemented executive policy
175,Subaru,58.81,Progressive tangible neural-net
176,Mercury,45.29,Face to face next generation knowledge user
177,Chevrolet,90.37,Diverse non-volatile protocol
178,Audi,81.13,Digitized coherent workforce
179,BMW,80.18,Switchable bottom-line archive
180,BMW,63.53,Phased holistic access
181,Lamborghini,43.65,Organic zero administration website
182,Infiniti,19.85,Face to face regional local area network
183,Chevrolet,97.45,Quality-focused even-keeled adapter
184,Chrysler,26.47,Fully-configurable intermediate moderator
185,Kia,69.89,Programmable stable policy
186,Ford,56.77,Sharable coherent support
187,Chrysler,19.53,Diverse solution-oriented installation
188,Chevrolet,80.81,Polarised content-based benchmark
189,Dodge,24.75,Upgradable mobile interface
190,Mitsubishi,9.42,Universal local superstructure
191,Audi,50.49,Centralized clear-thinking attitude
192,GMC,50.68,Compatible 4th generation orchestration
193,Mitsubishi,48.67,Ameliorated user-facing hierarchy
194,Mitsubishi,96.59,User-centric stable protocol
195,GMC,47.41,Diverse 24/7 function
196,Ford,21.57,Organized mission-critical approach
197,Ford,44.21,Distributed neutral workforce
198,Suzuki,41.82,Advanced executive software
199,Audi,68.62,User-centric uniform knowledge user
200,Chevrolet,49.77,Multi-layered motivating product
201,Buick,40.44,Grass-roots dedicated function
202,Nissan,41.2,Re-contextualized well-modulated initiative
203,Toyota,28.37,Cross-group static ability
204,Subaru,87.59,Networked mission-critical benchmark
205,Volkswagen,16.76,Monitored methodical time-frame
206,Mazda,81.67,Reduced dedicated installation
207,Volkswagen,41.4,Quality-focused 6th generation approach
208,Cadillac,6.98,Public-key web-enabled encryption
209,Mazda,72.44,Secured 24/7 conglomeration
210,GMC,5.8,Open-architected 6th generation neural-net
211,Buick,36.87,Sharable multimedia hardware
212,Mazda,5.03,Programmable systemic solution
213,Mercedes-Benz,53.82,Reactive intangible conglomeration
214,Volkswagen,1.78,Focused eco-centric productivity
215,Suzuki,96.11,Innovative homogeneous focus group
216,Hyundai,82.2,Down-sized 24/7 solution
217,Pontiac,8.33,Operative multimedia firmware
218,Audi,81.55,Assimilated disintermediate customer loyalty
219,Plymouth,2.28,Managed local circuit
220,Lincoln,25.88,Fully-configurable directional alliance
221,Nissan,16.23,Managed bandwidth-monitored internet solution
222,Porsche,21.83,Sharable empowering methodology
223,Ford,79.68,Automated bandwidth-monitored contingency
224,Hyundai,78.6,Distributed foreground firmware
225,Buick,19.41,Assimilated explicit archive
226,Pontiac,69.75,Re-contextualized responsive help-desk
227,Volkswagen,47.15,Ameliorated clear-thinking function
228,BMW,10.34,Self-enabling executive circuit
229,Ford,81.18,Balanced next generation conglomeration
230,Volkswagen,35.23,Configurable systematic model
231,Chevrolet,70.4,Team-oriented holistic flexibility
232,Citroën,2.74,De-engineered even-keeled collaboration
233,Ford,50.8,Managed systemic projection
234,Mazda,72.91,Organized global complexity
235,Chevrolet,20.25,Devolved dedicated success
236,Chrysler,80.02,Open-architected maximized throughput
237,Pontiac,51.31,Universal intermediate parallelism
238,BMW,79.71,Total optimal interface
239,Mercedes-Benz,16.23,Multi-layered dynamic forecast
240,Mitsubishi,68.18,Focused context-sensitive groupware
241,Acura,7.32,Persevering fresh-thinking instruction set
242,Toyota,43.56,Phased modular implementation
243,Buick,76.46,Open-source clear-thinking circuit
244,Mitsubishi,42.84,Quality-focused mobile info-mediaries
245,Maserati,68.24,Multi-tiered multi-tasking orchestration
246,Pontiac,53.67,Versatile stable framework
247,Mercedes-Benz,54.87,Advanced disintermediate analyzer
248,Saab,23.52,Customizable multimedia array
249,GMC,35.99,User-centric attitude-oriented archive
250,GMC,12.38,Quality-focused value-added secured line
251,Chevrolet,21.33,Public-key dedicated synergy
252,Pontiac,93.79,Reduced directional functionalities
253,Lexus,62.77,Profound demand-driven Graphic Interface
254,Subaru,51.45,Re-engineered systemic task-force
255,Nissan,90.42,Enhanced secondary core
256,Mazda,55.67,Expanded 24 hour core
257,Chevrolet,4.61,Re-engineered fresh-thinking alliance
258,Mercury,50.57,Cross-group clear-thinking initiative
259,Plymouth,5.49,Grass-roots real-time concept
260,Aston Martin,59.54,Public-key demand-driven application
261,Aston Martin,43.1,Intuitive homogeneous contingency
262,Toyota,54.55,Customer-focused even-keeled database
263,Mercury,84.94,Triple-buffered cohesive artificial intelligence
264,Saturn,84.43,Sharable web-enabled extranet
265,Plymouth,26.51,Switchable 3rd generation benchmark
266,GMC,23.62,Cross-group executive middleware
267,Nissan,42.12,Up-sized didactic structure
268,Mercury,47.57,Multi-channelled eco-centric orchestration
269,Subaru,8.45,Managed static leverage
270,Isuzu,71.8,Exclusive eco-centric internet solution
271,Nissan,38.31,Networked dynamic product
272,GMC,71.42,Future-proofed bandwidth-monitored solution
273,Lexus,23.94,Business-focused full-range approach
274,Dodge,54.37,Realigned stable capability
275,GMC,74.1,Persevering actuating Graphical User Interface
276,Mitsubishi,57.97,Enterprise-wide optimizing forecast
277,Chevrolet,80.02,Synchronised needs-based encoding
278,Kia,33.95,Optimized real-time time-frame
279,GMC,19.88,Implemented responsive infrastructure
280,Mazda,4.37,Seamless full-range website
281,Ford,50.71,Ergonomic modular synergy
282,Saturn,97.78,Diverse 5th generation process improvement
283,Chevrolet,36.42,Diverse bandwidth-monitored strategy
284,Mazda,11.22,Face to face fault-tolerant projection
285,Pontiac,3.69,Optimized web-enabled time-frame
286,Chevrolet,75.7,Function-based reciprocal middleware
287,Hyundai,42.66,Innovative 24 hour synergy
288,Cadillac,49.13,Secured value-added open architecture
289,Fiat,13.25,Proactive system-worthy challenge
290,Audi,30.96,Customer-focused disintermediate circuit
291,Infiniti,12.59,Profit-focused fresh-thinking archive
292,Chevrolet,54.9,Digitized context-sensitive application
293,Honda,62.14,Focused 3rd generation functionalities
294,Buick,3.34,Inverse multimedia Graphical User Interface
295,Ford,95.57,Versatile zero defect framework
296,Volvo,77.62,Ameliorated cohesive strategy
297,Suzuki,7.27,Reverse-engineered context-sensitive Graphic Interface
298,BMW,52.23,Robust bifurcated protocol
299,Toyota,35.44,Expanded content-based database
300,Ford,15.33,Digitized dedicated info-mediaries
301,Pontiac,50.46,Object-based maximized customer loyalty
302,Audi,82.12,Cloned regional policy
303,Mitsubishi,74.45,Balanced systematic protocol
304,Kia,55.65,Stand-alone user-facing architecture
305,BMW,56.72,Vision-oriented homogeneous internet solution
306,Chevrolet,80.87,Cross-platform high-level forecast
307,Volkswagen,35.08,Synchronised static policy
308,Mitsubishi,94.8,Adaptive explicit superstructure
309,Ford,56.66,Stand-alone disintermediate website
310,Chrysler,67.15,Reverse-engineered 4th generation standardization
311,Nissan,96.5,Implemented 3rd generation process improvement
312,Mazda,40.68,Up-sized didactic secured line
313,Chevrolet,43.27,Public-key transitional Graphical User Interface
314,Volkswagen,77.88,Robust content-based hierarchy
315,Acura,16.45,Universal grid-enabled capacity
316,Ford,65.22,Devolved demand-driven help-desk
317,BMW,24.55,Enhanced logistical function
318,Buick,60.11,Visionary didactic superstructure
319,Toyota,39.58,Multi-tiered leading edge methodology
320,Infiniti,31.6,Mandatory encompassing moratorium
321,Geo,29.64,Enhanced eco-centric knowledge user
322,Dodge,25.49,Implemented analyzing knowledge base
323,GMC,19.54,Compatible explicit access
324,Porsche,28.65,Diverse directional moratorium
325,Mercury,95.05,Extended encompassing moderator
326,Lincoln,24.78,Balanced actuating benchmark
327,Porsche,36.43,User-friendly solution-oriented time-frame
328,GMC,29.63,Re-engineered human-resource parallelism
329,Dodge,35.68,De-engineered explicit projection
330,GMC,65.12,Integrated systemic instruction set
331,Toyota,40.25,Open-source system-worthy strategy
332,Ford,31.35,Re-engineered non-volatile collaboration
333,Saturn,42.47,Optimized zero defect architecture
334,Audi,28.76,Advanced heuristic adapter
335,Ford,86.74,Organized dynamic installation
336,Dodge,78.42,Customizable full-range database
337,Acura,88.98,De-engineered 24/7 concept
338,Honda,87.97,Right-sized 24 hour hub
339,MINI,61.27,Team-oriented multi-state open system
340,Pontiac,65.38,Multi-tiered real-time methodology
341,BMW,41.58,Triple-buffered 24/7 attitude
342,Dodge,74.55,Diverse foreground instruction set
343,Ford,71.87,Visionary zero tolerance forecast
344,Volkswagen,56.04,Vision-oriented web-enabled policy
345,Toyota,78.93,Monitored intermediate functionalities
346,Dodge,34.0,Open-source context-sensitive implementation
347,Suzuki,56.51,Ameliorated 24 hour solution
348,Mercedes-Benz,76.51,Enhanced disintermediate internet solution
349,Kia,83.1,Object-based regional moderator
350,Pontiac,78.46,Synergistic impactful neural-net
351,Aston Martin,42.24,Adaptive asymmetric initiative
352,Mitsubishi,91.43,Customer-focused multi-tasking superstructure
353,Chevrolet,78.24,Reduced scalable hub
354,Ford,31.0,Profound responsive model
355,Volkswagen,31.81,Right-sized multi-state success
356,Saturn,13.07,Quality-focused client-server complexity
357,Isuzu,96.02,Cross-group discrete time-frame
358,Toyota,10.44,Extended interactive challenge
359,GMC,75.89,Proactive client-server standardization
360,Plymouth,40.15,Networked even-keeled protocol
361,Buick,62.23,Organic multi-state emulation
362,GMC,7.89,Centralized modular time-frame
363,Lotus,28.52,Decentralized foreground infrastructure
364,Mitsubishi,68.1,Expanded non-volatile intranet
365,Chevrolet,26.38,Integrated responsive benchmark
366,Audi,80.76,Multi-tiered 24/7 support
367,Lincoln,99.43,Devolved high-level portal
368,Acura,93.25,Distributed dynamic solution
369,Dodge,41.84,Up-sized client-server leverage
370,Mercedes-Benz,3.27,Robust non-volatile task-force
371,Infiniti,50.79,Focused zero administration policy
372,Toyota,18.28,Total 5th generation capacity
373,Audi,4.86,Total next generation paradigm
374,Kia,3.76,Realigned impactful open architecture
375,MINI,58.84,Synergistic multi-tasking array
376,Chevrolet,67.04,Realigned explicit portal
377,Lamborghini,59.85,Quality-focused cohesive pricing structure
378,Honda,22.55,Ergonomic encompassing task-force
379,Toyota,29.16,Vision-oriented mission-critical budgetary management
380,Volkswagen,14.5,Persevering stable middleware
381,Mitsubishi,11.9,Ameliorated modular alliance
382,Daewoo,78.78,Function-based fault-tolerant neural-net
383,Mercury,78.6,Stand-alone maximized flexibility
384,Toyota,72.52,Cross-platform encompassing superstructure
385,Lexus,21.13,Robust static strategy
386,Fiat,93.63,Open-architected encompassing migration
387,Toyota,64.92,Sharable composite core
388,Mitsubishi,24.41,User-centric incremental open system
389,Honda,51.28,Reduced static portal
390,Mitsubishi,28.0,Operative leading edge service-desk
391,GMC,43.0,Centralized actuating archive
392,GMC,94.9,Open-architected optimizing focus group
393,Chevrolet,76.89,Down-sized value-added time-frame
394,Nissan,35.82,Monitored 4th generation definition
395,Lincoln,31.98,Cross-group object-oriented hierarchy
396,GMC,38.01,Optimized grid-enabled migration
397,Land Rover,36.2,Face to face fresh-thinking algorithm
398,Lincoln,64.99,Decentralized optimizing internet solution
399,Dodge,72.62,Self-enabling intangible service-desk
400,Mazda,71.7,Fundamental content-based artificial intelligence
401,Volvo,89.4,Public-key real-time definition
402,Suzuki,72.45,Innovative zero defect initiative
403,Suzuki,57.2,Function-based transitional model
404,Nissan,86.89,Public-key content-based system engine
405,Kia,26.98,Operative zero tolerance structure
406,Pontiac,9.31,Intuitive mission-critical budgetary management
407,Jaguar,65.96,Open-source zero tolerance migration
408,Cadillac,23.83,Reactive background analyzer
409,Kia,91.41,Organic radical secured line
410,Maybach,38.12,Multi-tiered explicit installation
411,Land Rover,52.32,Persevering client-server help-desk
412,Toyota,54.62,Total 24 hour process improvement
413,Subaru,82.37,Integrated analyzing portal
414,Mercury,57.04,Intuitive composite policy
415,Audi,92.63,Stand-alone mobile hub
416,Buick,32.95,Inverse actuating info-mediaries
417,Hyundai,27.69,Synergized client-driven encryption
418,Jeep,6.53,Seamless grid-enabled moderator
419,Nissan,77.97,Self-enabling contextually-based moderator
420,Ferrari,66.41,Robust hybrid hub
421,GMC,81.33,Persevering systematic analyzer
422,Infiniti,17.9,Multi-layered human-resource middleware
423,Chrysler,34.01,Optimized context-sensitive array
424,Mercedes-Benz,12.17,User-centric solution-oriented model
425,Mazda,5.94,Secured bifurcated info-mediaries
426,Mercury,41.21,Compatible executive access
427,Mazda,40.85,Balanced context-sensitive complexity
428,Dodge,95.9,Optimized responsive extranet
429,Cadillac,65.13,Future-proofed maximized project
430,Honda,42.5,Down-sized grid-enabled productivity
431,Buick,72.72,Synergized content-based contingency
432,Infiniti,63.21,Cross-group multimedia concept
433,Chevrolet,84.09,Reduced dynamic secured line
434,Ford,26.65,Organized hybrid middleware
435,BMW,91.25,Fundamental human-resource groupware
436,Volkswagen,26.03,Re-contextualized eco-centric utilisation
437,Audi,76.53,Public-key dedicated circuit
438,Toyota,15.36,Cross-platform context-sensitive neural-net
439,Toyota,93.32,Self-enabling zero defect methodology
440,Pontiac,56.05,Synergized high-level Graphical User Interface
441,Acura,17.5,Balanced fresh-thinking toolset
442,GMC,33.7,Integrated 3rd generation approach
443,Bentley,12.91,Reduced grid-enabled budgetary management
444,Oldsmobile,71.32,Automated secondary throughput
445,Volkswagen,92.62,Pre-emptive 24 hour database
446,Toyota,78.24,Organized motivating complexity
447,Land Rover,73.85,Seamless 6th generation functionalities
448,Mercedes-Benz,88.98,Stand-alone grid-enabled budgetary management
449,Chrysler,98.11,Advanced modular hub
450,Dodge,36.37,Customizable dedicated internet solution
451,Volkswagen,19.79,Visionary national monitoring
452,Porsche,14.26,Inverse demand-driven core
453,Volkswagen,18.81,Multi-channelled hybrid implementation
454,Buick,49.17,Mandatory intermediate installation
455,Pontiac,25.46,Intuitive demand-driven open architecture
456,Toyota,91.39,Virtual dynamic local area network
457,Aston Martin,73.96,De-engineered global adapter
458,Toyota,78.11,Balanced national service-desk
459,Suzuki,80.82,Total systematic interface
460,Isuzu,47.55,User-friendly clear-thinking productivity
461,Chevrolet,83.98,Customer-focused upward-trending task-force
462,Mercedes-Benz,25.64,Reactive asynchronous synergy
463,Mitsubishi,21.68,Synergistic tangible concept
464,Mercury,6.15,Decentralized interactive contingency
465,GMC,82.88,Integrated coherent website
466,Pontiac,60.1,Synergized context-sensitive emulation
467,Ford,22.55,Reactive next generation secured line
468,Oldsmobile,81.13,Re-engineered even-keeled analyzer
469,Dodge,74.22,Down-sized radical capability
470,Hyundai,75.12,Intuitive scalable moratorium
471,Acura,88.64,Integrated incremental encryption
472,Mazda,54.62,Future-proofed tertiary process improvement
473,Jaguar,50.98,Sharable even-keeled strategy
474,Ford,43.57,Ergonomic client-driven approach
475,Oldsmobile,18.23,Total composite challenge
476,Mitsubishi,77.95,De-engineered multi-state model
477,Toyota,19.79,Secured interactive archive
478,Toyota,93.48,Total coherent interface
479,Ford,54.53,Phased 6th generation budgetary management
480,Maserati,1.22,Operative needs-based toolset
481,Subaru,44.94,Intuitive bi-directional application
482,Subaru,25.16,Re-engineered 4th generation core
483,Mitsubishi,56.31,Monitored didactic groupware
484,Toyota,43.42,Digitized systemic website
485,Buick,62.35,Seamless real-time application
486,Infiniti,34.67,Down-sized bandwidth-monitored array
487,Jaguar,80.83,Ameliorated fault-tolerant time-frame
488,Toyota,93.61,Inverse bifurcated adapter
489,Infiniti,68.48,Cross-platform system-worthy moratorium
490,Ford,77.72,Integrated systematic frame
491,Dodge,64.11,Realigned bandwidth-monitored parallelism
492,Mercedes-Benz,23.89,Implemented value-added customer loyalty
493,Chevrolet,18.44,Networked holistic knowledge user
494,Buick,5.06,Implemented clear-thinking Graphic Interface
495,Daewoo,23.53,Enhanced client-driven application
496,Lexus,61.23,Cross-platform responsive encryption
497,Chrysler,89.24,Re-contextualized responsive emulation
498,Buick,3.26,Self-enabling transitional productivity
499,Oldsmobile,90.25,Devolved mobile project
500,Mercedes-Benz,46.58,Decentralized user-facing instruction set
501,Audi,95.8,Virtual asymmetric strategy
502,BMW,84.42,Horizontal directional hub
503,Oldsmobile,22.62,Seamless fault-tolerant instruction set
504,Lexus,84.83,Streamlined empowering internet solution
505,Saab,85.88,Synergistic fault-tolerant focus group
506,Toyota,56.26,Multi-channelled client-server installation
507,Chrysler,33.63,Upgradable radical adapter
508,Ford,21.63,User-centric maximized approach
509,Volkswagen,56.9,Re-engineered modular archive
510,Volkswagen,88.99,Proactive multi-tasking structure
511,GMC,9.09,Implemented maximized internet solution
512,Suzuki,55.66,Enhanced explicit knowledge user
513,Ford,74.45,Up-sized next generation synergy
514,Chevrolet,78.87,Future-proofed homogeneous moratorium
515,Ford,62.65,Face to face non-volatile parallelism
516,Mitsubishi,61.54,Synchronised transitional hierarchy
517,Fillmore,53.51,Face to face modular portal
518,Lexus,65.24,Vision-oriented 24/7 software
519,Mercedes-Benz,39.64,Assimilated non-volatile alliance
520,Mitsubishi,46.32,Multi-channelled intangible analyzer
521,Audi,63.33,Optional didactic infrastructure
522,Ford,40.75,Horizontal upward-trending open system
523,GMC,54.61,Assimilated background challenge
524,Ford,76.88,Grass-roots discrete structure
525,Hyundai,6.4,Polarised optimizing time-frame
526,Ford,49.25,Inverse uniform array
527,Mercedes-Benz,11.38,Implemented encompassing local area network
528,BMW,21.79,Inverse high-level pricing structure
529,Oldsmobile,61.79,Intuitive eco-centric superstructure
530,Volkswagen,35.09,Virtual bandwidth-monitored knowledge user
531,Lincoln,51.97,Horizontal content-based policy
532,Plymouth,80.33,Upgradable 4th generation conglomeration
533,Lotus,52.44,Managed real-time open architecture
534,Porsche,39.38,Seamless client-driven superstructure
535,Subaru,33.17,Phased methodical projection
536,Chevrolet,1.23,Assimilated tertiary attitude
537,Jeep,32.68,Digitized uniform structure
538,Buick,9.78,Intuitive tangible data-warehouse
539,Honda,91.07,Multi-lateral neutral framework
540,Mercury,31.17,Focused eco-centric concept
541,BMW,4.06,Compatible logistical capability
542,Mercedes-Benz,33.34,Upgradable zero administration capability
543,Mercedes-Benz,59.1,User-centric global utilisation
544,Honda,79.56,Devolved 24/7 standardization
545,Nissan,92.26,Persevering empowering secured line
546,Toyota,97.34,Decentralized fresh-thinking protocol
547,Lincoln,63.36,Persevering foreground hub
548,Pontiac,78.28,Synergistic neutral process improvement
549,Cadillac,7.43,Upgradable executive ability
550,Mitsubishi,81.16,Progressive fresh-thinking definition
551,Jeep,28.21,Managed optimizing complexity
552,Cadillac,14.95,Cross-group even-keeled structure
553,Honda,96.49,Reverse-engineered executive middleware
554,Lexus,28.47,Multi-tiered empowering benchmark
555,Maserati,31.29,Distributed tangible toolset
556,Toyota,33.94,Business-focused content-based system engine
557,Toyota,55.5,Persevering client-driven policy
558,Buick,33.58,Progressive hybrid paradigm
559,Mitsubishi,66.69,Horizontal maximized capability
560,Chevrolet,74.4,Monitored methodical attitude
561,Toyota,51.81,Down-sized background hub
562,Ford,82.26,Virtual impactful budgetary management
563,Lexus,12.81,Total mission-critical task-force
564,Chevrolet,48.76,Robust incremental standardization
565,Bentley,97.43,Reduced clear-thinking monitoring
566,Chevrolet,2.64,Advanced real-time attitude
567,Toyota,65.04,Mandatory discrete middleware
568,Ford,36.74,Persistent multi-tasking secured line
569,Pontiac,86.84,Quality-focused mobile time-frame
570,Chevrolet,60.96,Robust context-sensitive service-desk
571,Lincoln,73.53,Enterprise-wide explicit hardware
572,Lamborghini,56.26,Compatible user-facing Graphical User Interface
573,Lotus,50.65,Customizable high-level adapter
574,Oldsmobile,19.61,Persevering zero defect structure
575,Mercedes-Benz,41.72,Advanced human-resource interface
576,Porsche,87.35,Right-sized uniform flexibility
577,Toyota,73.97,Extended human-resource workforce
578,Chrysler,72.87,Seamless needs-based local area network
579,Mercedes-Benz,96.07,Horizontal static help-desk
580,Oldsmobile,22.74,Digitized object-oriented system engine
